status,title,domain,priority_score,source_kind,current_path,planned_fixtures_path,duplicate_of,notes,catalog_domain,catalog_priority
selected_supporting,SQL cookbook query solutions and techniques for all SQL,sql,76,downloads,"/home/brandon_behring/Downloads/acqusition_books/acqusition_books/SQL cookbook _ query solutions and techniques for all SQL -- Anthony Molinaro, database developer; Robert W De Graaf -- Second edition, Sebastopol, -- 9781492077442 -- f26030bcee656c6a942752267fba1cba -- Anna’s Archive.pdf","/home/brandon_behring/Claude/research-kb/fixtures/library_books/SQL cookbook _ query solutions and techniques for all SQL -- Anthony Molinaro, database developer; Robert W De Graaf -- Second edition, Sebastopol, -- 9781492077442 -- f26030bcee656c6a942752267fba1cba -- Anna’s Archive.pdf",,download_source,,
selected_supporting,Haskell in Depth,functional_programming,74,repo_library,/home/brandon_behring/Claude/research-kb/fixtures/library_books/Vitaly Bragilevsky - Haskell in Depth-Manning Publications (2021).pdf,/home/brandon_behring/Claude/research-kb/fixtures/library_books/Vitaly Bragilevsky - Haskell in Depth-Manning Publications (2021).pdf,,catalog_priority=75,functional_programming,75
deferred_non_pdf,Designing Data-Intensive Applications The Big Ideas Behind,software_engineering,92,downloads,"/home/brandon_behring/Downloads/acqusition_books/acqusition_books/Designing Data-Intensive Applications_ The Big Ideas Behind -- Martin Kleppmann, Chris Riccomini -- 2nd, 2026 -- O'Reilly Media, Incorporated -- 9781098119003 -- ddbefdc2066789df0b8ac0d23da945ea -- Anna’s Archive.epub","/home/brandon_behring/Claude/research-kb/fixtures/library_books/Designing Data-Intensive Applications_ The Big Ideas Behind -- Martin Kleppmann, Chris Riccomini -- 2nd, 2026 -- O'Reilly Media, Incorporated -- 9781098119003 -- ddbefdc2066789df0b8ac0d23da945ea -- Anna’s Archive.epub",,download_source; non_pdf,,
duplicate,The Pragmatic Programmer: Your Journey to Mastery-Addison,software_engineering,60,repo_library,"/home/brandon_behring/Claude/research-kb/fixtures/library_books/David Thomas, Andrew Hunt - The Pragmatic Programmer_ Your Journey to Mastery-Addison-Wesley Professional (2019).pdf","/home/brandon_behring/Claude/research-kb/fixtures/library_books/David Thomas, Andrew Hunt - The Pragmatic Programmer_ Your Journey to Mastery-Addison-Wesley Professional (2019).pdf","The Pragmatic Programmer: your journey to mastery, 20th Anniversary Edition, 2nd Edition",catalog_priority=60; deduplicated under preferred copy,software_engineering,60
duplicate,18.410-Thomas H Cormen Introduction to Algorithms 2001,algorithms,50,repo_library,/home/brandon_behring/Claude/research-kb/fixtures/library_books/18.410-Thomas H Cormen Introduction to Algorithms  2001.pdf,/home/brandon_behring/Claude/research-kb/fixtures/library_books/18.410-Thomas H Cormen Introduction to Algorithms  2001.pdf,Introduction to Algorithms 3rd Edition,catalog_priority=50; deduplicated under preferred copy,algorithms,50
duplicate,Fluent Python,software_engineering,50,repo_library,/home/brandon_behring/Claude/research-kb/fixtures/library_books/Luciano Ramalho - Fluent Python_ Clear Concise and Effective Programming-OReilly Media 2015.pdf,/home/brandon_behring/Claude/research-kb/fixtures/library_books/Luciano Ramalho - Fluent Python_ Clear Concise and Effective Programming-OReilly Media 2015.pdf,"Fluent Python Clear, Concise, and Effective Programming",catalog_priority=50; deduplicated under preferred copy,software_engineering,50
duplicate,Vincent Traag (auth.) - Algorithms and Dynamical Models for Communities and Reputation in Social Networks-Springer International Publishing,algorithms,50,repo_library,/home/brandon_behring/Claude/research-kb/fixtures/library_books/(Springer Theses) Vincent Traag (auth.) - Algorithms and Dynamical Models for Communities and Reputation in Social Networks-Springer International Publishing (2014).pdf,/home/brandon_behring/Claude/research-kb/fixtures/library_books/(Springer Theses) Vincent Traag (auth.) - Algorithms and Dynamical Models for Communities and Reputation in Social Networks-Springer International Publishing (2014).pdf,compressed (Springer Theses) Vincent Traag (auth.) - Algorithms and Dynamical Models for Communities and Reputation in Social Networks-Springer International Publishing,catalog_priority=50; deduplicated under preferred copy,mathematics,50
duplicate,"18.410-Cormen T.H., Lee C., Lin E. Instructors manual for Introduction to algorithms 2ed 2002",algorithms,40,repo_library,"/home/brandon_behring/Claude/research-kb/fixtures/library_books/18.410-Cormen T.H., Lee C., Lin E. Instructors manual for Introduction to algorithms 2ed 2002.pdf","/home/brandon_behring/Claude/research-kb/fixtures/library_books/18.410-Cormen T.H., Lee C., Lin E. Instructors manual for Introduction to algorithms 2ed 2002.pdf",Introduction to Algorithms 3rd Edition,catalog_priority=40; deduplicated under preferred copy,algorithms,40
duplicate,Grokking Algorithms,sql,40,repo_library,/home/brandon_behring/Claude/research-kb/fixtures/library_books/Aditya Bhargava - Grokking Algorithms_ An Illustrated Guide for Programmers and Other Curious People-Manning Publications (2016) (1).pdf,/home/brandon_behring/Claude/research-kb/fixtures/library_books/Aditya Bhargava - Grokking Algorithms_ An Illustrated Guide for Programmers and Other Curious People-Manning Publications (2016) (1).pdf,Grokking Algorithms,catalog_priority=40; deduplicated under preferred copy,sql,40
duplicate,Yu Jiang & Zhong-Ping Jiang - Robust Adaptive Dynamic Programming-John Wiley & Sons (May 2017),algorithms,40,repo_library,/home/brandon_behring/Claude/research-kb/fixtures/library_books/Yu Jiang & Zhong-Ping Jiang - Robust Adaptive Dynamic Programming-John Wiley & Sons (May 2017).pdf,/home/brandon_behring/Claude/research-kb/fixtures/library_books/Yu Jiang & Zhong-Ping Jiang - Robust Adaptive Dynamic Programming-John Wiley & Sons (May 2017).pdf,Ping Jiang - Robust Adaptive Dynamic Programming-Wiley,catalog_priority=40; deduplicated under preferred copy,algorithms,40
duplicate,Grokking Algorithms (5),algorithms,35,repo_library,/home/brandon_behring/Claude/research-kb/fixtures/library_books/Grokking_Algorithms (5).pdf,/home/brandon_behring/Claude/research-kb/fixtures/library_books/Grokking_Algorithms (5).pdf,Grokking Algorithms,catalog_priority=35; deduplicated under preferred copy,algorithms,35
duplicate,Haskell in Depth (5),functional_programming,35,repo_library,/home/brandon_behring/Claude/research-kb/fixtures/library_books/Haskell_in_Depth (5).pdf,/home/brandon_behring/Claude/research-kb/fixtures/library_books/Haskell_in_Depth (5).pdf,Haskell in Depth,catalog_priority=35; deduplicated under preferred copy,functional_programming,35
duplicate,python algorithms guide digital 2,algorithms,30,repo_library,/home/brandon_behring/Claude/research-kb/fixtures/library_books/python_algorithms_guide_digital_2.pdf,/home/brandon_behring/Claude/research-kb/fixtures/library_books/python_algorithms_guide_digital_2.pdf,python algorithms guide digital 2,catalog_priority=30; deduplicated under preferred copy,data_science,30
duplicate,Introduction to Algorithms,algorithms,25,repo_library,"/home/brandon_behring/Claude/research-kb/fixtures/library_books/Cormen T.H., Leiserson C.E - Introduction to algorithms, 3ed. Instructor's manual (2009, MIT) - libgen.li.pdf","/home/brandon_behring/Claude/research-kb/fixtures/library_books/Cormen T.H., Leiserson C.E - Introduction to algorithms, 3ed. Instructor's manual (2009, MIT) - libgen.li.pdf",Introduction to Algorithms 3rd Edition,catalog_priority=25; deduplicated under preferred copy,algorithms,25
duplicate,"compressed (Advances in Industrial Control) Derong Liu, Qinglai Wei, Ding Wang, Xiong Yang, Hongliang Li (auth.) - Adaptive Dynamic Programming with Applications in Optimal Control-Springer International Publish",algorithms,25,repo_library,"/home/brandon_behring/Claude/research-kb/fixtures/library_books/compressed_(Advances in Industrial Control) Derong Liu, Qinglai Wei, Ding Wang, Xiong Yang, Hongliang Li (auth.) - Adaptive Dynamic Programming with Applications in Optimal Control-Springer International Publish.pdf","/home/brandon_behring/Claude/research-kb/fixtures/library_books/compressed_(Advances in Industrial Control) Derong Liu, Qinglai Wei, Ding Wang, Xiong Yang, Hongliang Li (auth.) - Adaptive Dynamic Programming with Applications in Optimal Control-Springer International Publish.pdf","Derong Liu, Qinglai Wei, Ding Wang, Xiong Yang, Hongliang Li (auth.) - Adaptive Dynamic Programming with Applications in Optimal Control-Springer International Publish",catalog_priority=25; deduplicated under preferred copy,skip,25
duplicate,Advanced Algorithms and Data Structures,algorithms,20,repo_library,/home/brandon_behring/Claude/research-kb/fixtures/library_books/Advanced_Algorithms_and_Data_Structures.pdf,/home/brandon_behring/Claude/research-kb/fixtures/library_books/Advanced_Algorithms_and_Data_Structures.pdf,Advanced Algorithms and Data Structures (5),catalog_priority=20; deduplicated under preferred copy,skip,20
duplicate,Advanced Algorithms and Data Structures (1),algorithms,20,repo_library,/home/brandon_behring/Claude/research-kb/fixtures/library_books/Advanced_Algorithms_and_Data_Structures (1).pdf,/home/brandon_behring/Claude/research-kb/fixtures/library_books/Advanced_Algorithms_and_Data_Structures (1).pdf,Advanced Algorithms and Data Structures (5),catalog_priority=20; deduplicated under preferred copy,skip,20
duplicate,Get Programming with Haskell,functional_programming,20,repo_library,/home/brandon_behring/Claude/research-kb/fixtures/library_books/Get_Programming_with_Haskell.pdf,/home/brandon_behring/Claude/research-kb/fixtures/library_books/Get_Programming_with_Haskell.pdf,Get Programming with Haskell (5),catalog_priority=20; deduplicated under preferred copy,skip,20
duplicate,Get Programming with Haskell 2,functional_programming,20,repo_library,/home/brandon_behring/Claude/research-kb/fixtures/library_books/Get_Programming_with_Haskell_2.pdf,/home/brandon_behring/Claude/research-kb/fixtures/library_books/Get_Programming_with_Haskell_2.pdf,Get Programming with Haskell (5),catalog_priority=20; deduplicated under preferred copy,skip,20
duplicate,Graph Algorithms for Data Science 2,algorithms,20,repo_library,/home/brandon_behring/Claude/research-kb/fixtures/library_books/Graph_Algorithms_for_Data_Science_2.pdf,/home/brandon_behring/Claude/research-kb/fixtures/library_books/Graph_Algorithms_for_Data_Science_2.pdf,Graph Algorithms for Data Science,catalog_priority=20; deduplicated under preferred copy,skip,20
duplicate,Software Engineering for Data Scientists v6 MEAP (1),software_engineering,20,repo_library,/home/brandon_behring/Claude/research-kb/fixtures/library_books/Software_Engineering_for_Data_Scientists_v6_MEAP (1).pdf,/home/brandon_behring/Claude/research-kb/fixtures/library_books/Software_Engineering_for_Data_Scientists_v6_MEAP (1).pdf,Software Engineering for Data Scientists From Notebooks to,early_access; catalog_priority=20; deduplicated under preferred copy,software_engineering,20
duplicate,Exploring Functional Programming,functional_programming,15,repo_library,/home/brandon_behring/Claude/research-kb/fixtures/library_books/Exploring_Functional_Programming.pdf,/home/brandon_behring/Claude/research-kb/fixtures/library_books/Exploring_Functional_Programming.pdf,Exploring Functional Programming (4),catalog_priority=15; deduplicated under preferred copy,skip,15
duplicate,Exploring Functional Programming (1),functional_programming,15,repo_library,/home/brandon_behring/Claude/research-kb/fixtures/library_books/Exploring_Functional_Programming (1).pdf,/home/brandon_behring/Claude/research-kb/fixtures/library_books/Exploring_Functional_Programming (1).pdf,Exploring Functional Programming (4),catalog_priority=15; deduplicated under preferred copy,skip,15
duplicate,Functional Programming in Scala (1),functional_programming,15,repo_library,/home/brandon_behring/Claude/research-kb/fixtures/library_books/Functional_Programming_in_Scala (1).pdf,/home/brandon_behring/Claude/research-kb/fixtures/library_books/Functional_Programming_in_Scala (1).pdf,Functional Programming in Scala,catalog_priority=15; deduplicated under preferred copy,skip,15
duplicate,Functional Programming in Scala (5),functional_programming,15,repo_library,/home/brandon_behring/Claude/research-kb/fixtures/library_books/Functional_Programming_in_Scala (5).pdf,/home/brandon_behring/Claude/research-kb/fixtures/library_books/Functional_Programming_in_Scala (5).pdf,Functional Programming in Scala,catalog_priority=15; deduplicated under preferred copy,skip,15
duplicate,Functional Programming in Scala 2,functional_programming,15,repo_library,/home/brandon_behring/Claude/research-kb/fixtures/library_books/Functional_Programming_in_Scala_2.pdf,/home/brandon_behring/Claude/research-kb/fixtures/library_books/Functional_Programming_in_Scala_2.pdf,Functional Programming in Scala,catalog_priority=15; deduplicated under preferred copy,skip,15
duplicate,Grokking Algorithms (3) 2,algorithms,15,repo_library,/home/brandon_behring/Claude/research-kb/fixtures/library_books/Grokking_Algorithms (3) 2.pdf,/home/brandon_behring/Claude/research-kb/fixtures/library_books/Grokking_Algorithms (3) 2.pdf,Grokking Algorithms,catalog_priority=15; deduplicated under preferred copy,skip,15
duplicate,Grokking Functional Programming,functional_programming,15,repo_library,/home/brandon_behring/Claude/research-kb/fixtures/library_books/Grokking_Functional_Programming.pdf,/home/brandon_behring/Claude/research-kb/fixtures/library_books/Grokking_Functional_Programming.pdf,functional programming,catalog_priority=15; deduplicated under preferred copy,skip,15
duplicate,Haskell in Depth,functional_programming,15,repo_library,/home/brandon_behring/Claude/research-kb/fixtures/library_books/Haskell_in_Depth.pdf,/home/brandon_behring/Claude/research-kb/fixtures/library_books/Haskell_in_Depth.pdf,Haskell in Depth,catalog_priority=15; deduplicated under preferred copy,skip,15
duplicate,Haskell in Depth 2,functional_programming,15,repo_library,/home/brandon_behring/Claude/research-kb/fixtures/library_books/Haskell_in_Depth_2.pdf,/home/brandon_behring/Claude/research-kb/fixtures/library_books/Haskell_in_Depth_2.pdf,Haskell in Depth,catalog_priority=15; deduplicated under preferred copy,skip,15
duplicate,Learn Haskell by Example,functional_programming,15,repo_library,/home/brandon_behring/Claude/research-kb/fixtures/library_books/Learn_Haskell_by_Example.pdf,/home/brandon_behring/Claude/research-kb/fixtures/library_books/Learn_Haskell_by_Example.pdf,Learn Haskell by Example 2,catalog_priority=15; deduplicated under preferred copy,skip,15
duplicate,Software Engineering for Data Scientists v4 MEAP,software_engineering,15,repo_library,/home/brandon_behring/Claude/research-kb/fixtures/library_books/Software_Engineering_for_Data_Scientists_v4_MEAP.pdf,/home/brandon_behring/Claude/research-kb/fixtures/library_books/Software_Engineering_for_Data_Scientists_v4_MEAP.pdf,Software Engineering for Data Scientists From Notebooks to,early_access; catalog_priority=15; deduplicated under preferred copy,software_engineering,15
duplicate,J2P and P2J Ver 1,algorithms,10,repo_library,/home/brandon_behring/Claude/research-kb/fixtures/library_books/Schaums Outlines Seymour Lipschutz - Data Structures with C.pdf,/home/brandon_behring/Claude/research-kb/fixtures/library_books/Schaums Outlines Seymour Lipschutz - Data Structures with C.pdf,J2P and P2J Ver 1,catalog_priority=10; deduplicated under preferred copy,algorithms,10
duplicate,Software Design for Python Programmers,software_engineering,10,repo_library,/home/brandon_behring/Claude/research-kb/fixtures/library_books/Software_Design_for_Python_Programmers.pdf,/home/brandon_behring/Claude/research-kb/fixtures/library_books/Software_Design_for_Python_Programmers.pdf,Software Design for Python Programmers 1,catalog_priority=10; deduplicated under preferred copy,skip,10
duplicate,Tim Roughgarden - Algorithms Illuminated: Part 1: The Basics-Soundlikeyourself Publishing 2017,algorithms,10,repo_library,/home/brandon_behring/Claude/research-kb/fixtures/library_books/Tim Roughgarden - Algorithms Illuminated_ Part 1_ The Basics-Soundlikeyourself Publishing 2017.pdf,/home/brandon_behring/Claude/research-kb/fixtures/library_books/Tim Roughgarden - Algorithms Illuminated_ Part 1_ The Basics-Soundlikeyourself Publishing 2017.pdf,Tim Roughgarden - Algorithms Illuminated: Part 1: The Basics-Soundlikeyourself Publ 2017,catalog_priority=10; deduplicated under preferred copy,algorithms,10
duplicate,python algorithms guide digital 3,algorithms,10,repo_library,/home/brandon_behring/Claude/research-kb/fixtures/library_books/python_algorithms_guide_digital_3.pdf,/home/brandon_behring/Claude/research-kb/fixtures/library_books/python_algorithms_guide_digital_3.pdf,python algorithms guide digital 3,catalog_priority=10; deduplicated under preferred copy,data_science,10
duplicate,"Functional Programming in Scala, Second",functional_programming,5,repo_library,"/home/brandon_behring/Claude/research-kb/fixtures/library_books/Functional_Programming_in_Scala,_Second_.pdf","/home/brandon_behring/Claude/research-kb/fixtures/library_books/Functional_Programming_in_Scala,_Second_.pdf","Functional Programming in Scala, Second: (1)",catalog_priority=5; deduplicated under preferred copy,skip,5
duplicate,"Functional Programming in Scala, Second 2",functional_programming,5,repo_library,"/home/brandon_behring/Claude/research-kb/fixtures/library_books/Functional_Programming_in_Scala,_Second__2.pdf","/home/brandon_behring/Claude/research-kb/fixtures/library_books/Functional_Programming_in_Scala,_Second__2.pdf","Functional Programming in Scala, Second: (1)",catalog_priority=5; deduplicated under preferred copy,skip,5
duplicate,"Functional Programming in Scala, Second: (1) 2",functional_programming,5,repo_library,"/home/brandon_behring/Claude/research-kb/fixtures/library_books/Functional_Programming_in_Scala,_Second_ (1)_2.pdf","/home/brandon_behring/Claude/research-kb/fixtures/library_books/Functional_Programming_in_Scala,_Second_ (1)_2.pdf","Functional Programming in Scala, Second: (1)",catalog_priority=5; deduplicated under preferred copy,skip,5
duplicate,Python Concurrency with asyncio,software_engineering,5,repo_library,/home/brandon_behring/Claude/research-kb/fixtures/library_books/Python_Concurrency_with_asyncio.pdf,/home/brandon_behring/Claude/research-kb/fixtures/library_books/Python_Concurrency_with_asyncio.pdf,Python Concurrency with asyncio (4),catalog_priority=5; deduplicated under preferred copy,skip,5
duplicate,Python Concurrency with asyncio (1),software_engineering,5,repo_library,/home/brandon_behring/Claude/research-kb/fixtures/library_books/Python_Concurrency_with_asyncio (1).pdf,/home/brandon_behring/Claude/research-kb/fixtures/library_books/Python_Concurrency_with_asyncio (1).pdf,Python Concurrency with asyncio (4),catalog_priority=5; deduplicated under preferred copy,skip,5
duplicate,Software Engineering for Data Scientists v3 MEAP,software_engineering,5,repo_library,/home/brandon_behring/Claude/research-kb/fixtures/library_books/Software_Engineering_for_Data_Scientists_v3_MEAP.pdf,/home/brandon_behring/Claude/research-kb/fixtures/library_books/Software_Engineering_for_Data_Scientists_v3_MEAP.pdf,Software Engineering for Data Scientists From Notebooks to,early_access; catalog_priority=5; deduplicated under preferred copy,software_engineering,5
duplicate,Effective Python 125 Specific Ways to Write Better Python,software_engineering,0,downloads,"/home/brandon_behring/Downloads/acqusition_books/acqusition_books/Effective Python_ 125 Specific Ways to Write Better Python, -- Brett Slatkin -- 2024 -- Addison-Wesley -- 9780138172398 -- ee704457f028e6afc9bff04e2c5e6786 -- Anna’s Archive.pdf","/home/brandon_behring/Claude/research-kb/fixtures/library_books/Effective Python_ 125 Specific Ways to Write Better Python, -- Brett Slatkin -- 2024 -- Addison-Wesley -- 9780138172398 -- ee704457f028e6afc9bff04e2c5e6786 -- Anna’s Archive.pdf",Effective Python 125 Specific Ways to Write Better Python,download_source; deduplicated under preferred copy,,
duplicate,Fundamentals of data engineering plan and build robust,software_engineering,0,downloads,"/home/brandon_behring/Downloads/acqusition_books/acqusition_books/Fundamentals of data engineering _ plan and build robust -- Joe Reis, Matt Housley -- 1, PS, 2022 -- O'Reilly Media, Incorporated -- 9781098108274 -- a4154c98ff025e33ee6d1d5643d82d74 -- Anna’s Archive.epub","/home/brandon_behring/Claude/research-kb/fixtures/library_books/Fundamentals of data engineering _ plan and build robust -- Joe Reis, Matt Housley -- 1, PS, 2022 -- O'Reilly Media, Incorporated -- 9781098108274 -- a4154c98ff025e33ee6d1d5643d82d74 -- Anna’s Archive.epub",Fundamentals of data engineering plan and build robust,download_source; deduplicated under preferred copy,,
duplicate,Refactoring Improving the Design of Existing Code,software_engineering,0,downloads,"/home/brandon_behring/Downloads/acqusition_books/acqusition_books/Refactoring_ Improving the Design of Existing Code -- Martin Fowler, Kent Beck -- Addison-Wesley Signature Series (Fowler) Ser, 2nd ed, -- 9780134757599 -- f4fc75eb1eee5537400908e6f59db631 -- Anna’s Archive (1).pdf","/home/brandon_behring/Claude/research-kb/fixtures/library_books/Refactoring_ Improving the Design of Existing Code -- Martin Fowler, Kent Beck -- Addison-Wesley Signature Series (Fowler) Ser, 2nd ed, -- 9780134757599 -- f4fc75eb1eee5537400908e6f59db631 -- Anna’s Archive (1).pdf",Refactoring Improving the Design of Existing Code,download_source; deduplicated under preferred copy,,
duplicate,Software Engineering for Data Scientists v2 MEAP,software_engineering,0,repo_library,/home/brandon_behring/Claude/research-kb/fixtures/library_books/Software_Engineering_for_Data_Scientists_v2_MEAP.pdf,/home/brandon_behring/Claude/research-kb/fixtures/library_books/Software_Engineering_for_Data_Scientists_v2_MEAP.pdf,Software Engineering for Data Scientists From Notebooks to,early_access; catalog_priority=0; deduplicated under preferred copy,skip,0
duplicate,Software Engineering for Data Scientists v6 MEAP,software_engineering,0,repo_library,/home/brandon_behring/Claude/research-kb/fixtures/library_books/Software_Engineering_for_Data_Scientists_v6_MEAP.pdf,/home/brandon_behring/Claude/research-kb/fixtures/library_books/Software_Engineering_for_Data_Scientists_v6_MEAP.pdf,Software Engineering for Data Scientists From Notebooks to,early_access; catalog_priority=0; deduplicated under preferred copy,skip,0
