tier,title,source_type,status,oop_relevance,current_path,preferred_path,duplicate_of,notes
supporting_classics,The Pragmatic Programmer,book_pdf,already_in_library,"General software craft classic that sharpens coupling, cohesion, maintainability, and pragmatic design judgment.","/home/brandon_behring/Claude/research-kb/fixtures/library_books/(2nd) Andrew Hunt_ David Hurst Thomas - The Pragmatic Programmer_ Your Journey to Mastery, 20th Anniversary Edition-Addison-Wesley Professional (2019).pdf","/home/brandon_behring/Claude/research-kb/fixtures/library_books/(2nd) Andrew Hunt_ David Hurst Thomas - The Pragmatic Programmer_ Your Journey to Mastery, 20th Anniversary Edition-Addison-Wesley Professional (2019).pdf",,Already staged in fixtures/library_books.
supporting_classics,API Design Patterns,book_pdf,already_in_library,"Helpful support text for interface and object boundary design, especially when classes back public APIs.",/home/brandon_behring/Claude/research-kb/fixtures/library_books/JJ Geewax - API Design Patterns-Manning Publications 2021.pdf,/home/brandon_behring/Claude/research-kb/fixtures/library_books/JJ Geewax - API Design Patterns-Manning Publications 2021.pdf,,Already staged in fixtures/library_books.
supporting_classics,"Unit Testing Principles, Practices, and Patterns",book_pdf,already_in_library,Testing discipline that makes refactoring class behavior and verifying object interactions much safer.,"/home/brandon_behring/Claude/research-kb/fixtures/library_books/Vladimir Khorikov - Unit Testing Principles, Practices, and Patterns-Manning Publications (2019).pdf","/home/brandon_behring/Claude/research-kb/fixtures/library_books/Vladimir Khorikov - Unit Testing Principles, Practices, and Patterns-Manning Publications (2019).pdf",,Already staged in fixtures/library_books.
appendix,Software Design for Python Programmers,book_pdf,duplicate,"Direct coverage of class design, encapsulation, delegation, loose coupling, inheritance, and design patterns in Python.",/home/brandon_behring/Claude/research-kb/fixtures/library_books/Software_Design_for_Python_Programmers 1.pdf,/home/brandon_behring/Claude/research-kb/fixtures/library_books/Software_Design_for_Python_Programmers.pdf,Software Design for Python Programmers,filename_copy_suffix
appendix,Software Design for Python Programmers,book_pdf,duplicate,"Direct coverage of class design, encapsulation, delegation, loose coupling, inheritance, and design patterns in Python.",/home/brandon_behring/Claude/research-kb/fixtures/library_books/Software_Design_for_Python_Programmers_v7_MEAP.pdf,/home/brandon_behring/Claude/research-kb/fixtures/library_books/Software_Design_for_Python_Programmers.pdf,Software Design for Python Programmers,preview_copy
appendix,Software Design for Python Programmers,book_pdf,duplicate,"Direct coverage of class design, encapsulation, delegation, loose coupling, inheritance, and design patterns in Python.",/home/brandon_behring/Claude/research-kb/fixtures/library_books/Software_Design_for_Python_Programmers_v8_MEAP.pdf,/home/brandon_behring/Claude/research-kb/fixtures/library_books/Software_Design_for_Python_Programmers.pdf,Software Design for Python Programmers,preview_copy
appendix,Software Design for Python Programmers,book_pdf,duplicate,"Direct coverage of class design, encapsulation, delegation, loose coupling, inheritance, and design patterns in Python.",/home/brandon_behring/Claude/research-kb/fixtures/library_books/Software_Design_in_Python_v6_MEAP.pdf,/home/brandon_behring/Claude/research-kb/fixtures/library_books/Software_Design_for_Python_Programmers.pdf,Software Design for Python Programmers,preview_copy
appendix,Software Design for Python Programmers,book_pdf,duplicate,"Direct coverage of class design, encapsulation, delegation, loose coupling, inheritance, and design patterns in Python.",/home/brandon_behring/Documents/Manning_Books_research_kb/Software Design for Python Programmers/Software_Design_for_Python_Programmers.pdf,/home/brandon_behring/Claude/research-kb/fixtures/library_books/Software_Design_for_Python_Programmers.pdf,Software Design for Python Programmers,alternate_copy
appendix,Software Design for Python Programmers,book_epub,duplicate,"Direct coverage of class design, encapsulation, delegation, loose coupling, inheritance, and design patterns in Python.",/home/brandon_behring/Documents/Manning_Books_research_kb/Software Design for Python Programmers/Software_Design_for_Python_Programmers_v7_MEAP.epub,/home/brandon_behring/Claude/research-kb/fixtures/library_books/Software_Design_for_Python_Programmers.pdf,Software Design for Python Programmers,preview_copy; epub_alternate
appendix,Software Design for Python Programmers,book_pdf,duplicate,"Direct coverage of class design, encapsulation, delegation, loose coupling, inheritance, and design patterns in Python.",/home/brandon_behring/Documents/Manning_Books_research_kb/Software Design for Python Programmers/Software_Design_for_Python_Programmers_v7_MEAP.pdf,/home/brandon_behring/Claude/research-kb/fixtures/library_books/Software_Design_for_Python_Programmers.pdf,Software Design for Python Programmers,preview_copy
appendix,Software Design for Python Programmers,book_epub,duplicate,"Direct coverage of class design, encapsulation, delegation, loose coupling, inheritance, and design patterns in Python.",/home/brandon_behring/Documents/Manning_Books_research_kb/Software Design for Python Programmers/Software_Design_for_Python_Programmers_v8_MEAP.epub,/home/brandon_behring/Claude/research-kb/fixtures/library_books/Software_Design_for_Python_Programmers.pdf,Software Design for Python Programmers,preview_copy; epub_alternate
appendix,Software Design for Python Programmers,book_pdf,duplicate,"Direct coverage of class design, encapsulation, delegation, loose coupling, inheritance, and design patterns in Python.",/home/brandon_behring/Documents/Manning_Books_research_kb/Software Design for Python Programmers/Software_Design_for_Python_Programmers_v8_MEAP.pdf,/home/brandon_behring/Claude/research-kb/fixtures/library_books/Software_Design_for_Python_Programmers.pdf,Software Design for Python Programmers,preview_copy
appendix,Software Design for Python Programmers,book_pdf,duplicate,"Direct coverage of class design, encapsulation, delegation, loose coupling, inheritance, and design patterns in Python.",/home/brandon_behring/Documents/Manning_Books_research_kb/Software Design in Python/Software_Design_in_Python_v6_MEAP.pdf,/home/brandon_behring/Claude/research-kb/fixtures/library_books/Software_Design_for_Python_Programmers.pdf,Software Design for Python Programmers,preview_copy
appendix,Software Design for Python Programmers,book_pdf,duplicate,"Direct coverage of class design, encapsulation, delegation, loose coupling, inheritance, and design patterns in Python.",/home/brandon_behring/Downloads/Software_Design_for_Python_Programmers (1).pdf,/home/brandon_behring/Claude/research-kb/fixtures/library_books/Software_Design_for_Python_Programmers.pdf,Software Design for Python Programmers,filename_copy_suffix
appendix,Software Design for Python Programmers,book_pdf,duplicate,"Direct coverage of class design, encapsulation, delegation, loose coupling, inheritance, and design patterns in Python.",/home/brandon_behring/Downloads/Software_Design_for_Python_Programmers.pdf,/home/brandon_behring/Claude/research-kb/fixtures/library_books/Software_Design_for_Python_Programmers.pdf,Software Design for Python Programmers,alternate_copy
appendix,Practices of the Python Pro,book_pdf,duplicate,"Strong treatment of separation of concerns, abstraction, encapsulation, inheritance tradeoffs, and loose coupling.",/home/brandon_behring/Claude/research-kb/fixtures/library_books/Practices_of_the_Python_Pro (1).pdf,/home/brandon_behring/Claude/research-kb/fixtures/library_books/Practices_of_the_Python_Pro.pdf,Practices of the Python Pro,filename_copy_suffix
appendix,Practices of the Python Pro,book_pdf,duplicate,"Strong treatment of separation of concerns, abstraction, encapsulation, inheritance tradeoffs, and loose coupling.",/home/brandon_behring/Claude/research-kb/fixtures/library_books/Practices_of_the_Python_Pro (5).pdf,/home/brandon_behring/Claude/research-kb/fixtures/library_books/Practices_of_the_Python_Pro.pdf,Practices of the Python Pro,filename_copy_suffix
appendix,Practices of the Python Pro,book_pdf,duplicate,"Strong treatment of separation of concerns, abstraction, encapsulation, inheritance tradeoffs, and loose coupling.",/home/brandon_behring/Documents/Manning_Books_research_kb/Practices of the Python Pro/Practices_of_the_Python_Pro (1).pdf,/home/brandon_behring/Claude/research-kb/fixtures/library_books/Practices_of_the_Python_Pro.pdf,Practices of the Python Pro,filename_copy_suffix
appendix,Practices of the Python Pro,book_pdf,duplicate,"Strong treatment of separation of concerns, abstraction, encapsulation, inheritance tradeoffs, and loose coupling.",/home/brandon_behring/Documents/Manning_Books_research_kb/Practices of the Python Pro/Practices_of_the_Python_Pro.pdf,/home/brandon_behring/Claude/research-kb/fixtures/library_books/Practices_of_the_Python_Pro.pdf,Practices of the Python Pro,alternate_copy
appendix,The Well-Grounded Python Developer,book_pdf,duplicate,"Useful Python design guide for APIs, the object model, composition, inheritance, and maintainable style.",/home/brandon_behring/Claude/research-kb/fixtures/library_books/The_Well-Grounded_Python_Developer_2.pdf,/home/brandon_behring/Claude/research-kb/fixtures/library_books/The_Well-Grounded_Python_Developer.pdf,The Well-Grounded Python Developer,filename_copy_suffix
appendix,The Well-Grounded Python Developer,book_pdf,duplicate,"Useful Python design guide for APIs, the object model, composition, inheritance, and maintainable style.",/home/brandon_behring/Claude/research-kb/fixtures/library_books/The_Well-Grounded_Python_Developer_v4_MEAP.pdf,/home/brandon_behring/Claude/research-kb/fixtures/library_books/The_Well-Grounded_Python_Developer.pdf,The Well-Grounded Python Developer,preview_copy
appendix,The Well-Grounded Python Developer,book_pdf,duplicate,"Useful Python design guide for APIs, the object model, composition, inheritance, and maintainable style.",/home/brandon_behring/Claude/research-kb/fixtures/library_books/The_Well-Grounded_Python_Developer_v5_MEAP.pdf,/home/brandon_behring/Claude/research-kb/fixtures/library_books/The_Well-Grounded_Python_Developer.pdf,The Well-Grounded Python Developer,preview_copy
appendix,The Well-Grounded Python Developer,book_pdf,duplicate,"Useful Python design guide for APIs, the object model, composition, inheritance, and maintainable style.",/home/brandon_behring/Claude/research-kb/fixtures/library_books/The_Well-Grounded_Python_Developer_v6_MEAP.pdf,/home/brandon_behring/Claude/research-kb/fixtures/library_books/The_Well-Grounded_Python_Developer.pdf,The Well-Grounded Python Developer,preview_copy
appendix,The Well-Grounded Python Developer,book_pdf,duplicate,"Useful Python design guide for APIs, the object model, composition, inheritance, and maintainable style.",/home/brandon_behring/Claude/research-kb/fixtures/library_books/The_Well-Grounded_Python_Developer_v7_MEAP.pdf,/home/brandon_behring/Claude/research-kb/fixtures/library_books/The_Well-Grounded_Python_Developer.pdf,The Well-Grounded Python Developer,preview_copy
appendix,The Well-Grounded Python Developer,book_pdf,duplicate,"Useful Python design guide for APIs, the object model, composition, inheritance, and maintainable style.",/home/brandon_behring/Claude/research-kb/fixtures/library_books/The_Well-Grounded_Python_Developer_v8_MEAP.pdf,/home/brandon_behring/Claude/research-kb/fixtures/library_books/The_Well-Grounded_Python_Developer.pdf,The Well-Grounded Python Developer,preview_copy
appendix,The Well-Grounded Python Developer,book_pdf,duplicate,"Useful Python design guide for APIs, the object model, composition, inheritance, and maintainable style.",/home/brandon_behring/Claude/research-kb/fixtures/library_books/The_Well-Grounded_Python_Developer_v9_MEAP (1).pdf,/home/brandon_behring/Claude/research-kb/fixtures/library_books/The_Well-Grounded_Python_Developer.pdf,The Well-Grounded Python Developer,preview_copy; filename_copy_suffix
appendix,The Well-Grounded Python Developer,book_pdf,duplicate,"Useful Python design guide for APIs, the object model, composition, inheritance, and maintainable style.",/home/brandon_behring/Claude/research-kb/fixtures/library_books/The_Well-Grounded_Python_Developer_v9_MEAP.pdf,/home/brandon_behring/Claude/research-kb/fixtures/library_books/The_Well-Grounded_Python_Developer.pdf,The Well-Grounded Python Developer,preview_copy
appendix,The Well-Grounded Python Developer,book_pdf,duplicate,"Useful Python design guide for APIs, the object model, composition, inheritance, and maintainable style.",/home/brandon_behring/Documents/Manning_Books_research_kb/The Well-Grounded Python Developer/The_Well-Grounded_Python_Developer (1).pdf,/home/brandon_behring/Claude/research-kb/fixtures/library_books/The_Well-Grounded_Python_Developer.pdf,The Well-Grounded Python Developer,filename_copy_suffix
appendix,The Well-Grounded Python Developer,book_pdf,duplicate,"Useful Python design guide for APIs, the object model, composition, inheritance, and maintainable style.",/home/brandon_behring/Documents/Manning_Books_research_kb/The Well-Grounded Python Developer/The_Well-Grounded_Python_Developer.pdf,/home/brandon_behring/Claude/research-kb/fixtures/library_books/The_Well-Grounded_Python_Developer.pdf,The Well-Grounded Python Developer,alternate_copy
appendix,Fluent Python,book_pdf,duplicate,"Best source here for Python's data model, protocols, dunder methods, composition, and idiomatic class design.",/home/brandon_behring/Claude/research-kb/fixtures/library_books/Luciano Ramalho - Fluent Python_ Clear Concise and Effective Programming-OReilly Media 2015.pdf,"/home/brandon_behring/Downloads/acqusition_books/acqusition_books/Fluent Python_ Clear, Concise, and Effective Programming, -- Luciano Ramalho -- 2nd, 2022 -- Beijing _ O'Reilly Media, Inc -- 9781492056355 -- 6b8f1e751c6d6b82a49cc155099f9949 -- Anna’s Archive.pdf",Fluent Python,older_edition
appendix,Fluent Python,book_epub,duplicate,"Best source here for Python's data model, protocols, dunder methods, composition, and idiomatic class design.","/home/brandon_behring/Downloads/Fluent Python _ clear, concise, and effective programming -- Luciano Ramalho -- Second edition, Sebastopol, CA, 2022 -- Beijing _ O'Reilly Media, Inc -- 9781492056355 -- 4fce7237cc6459285fad0a2d48e9d5b5 -- Anna’s Archive.epub","/home/brandon_behring/Downloads/acqusition_books/acqusition_books/Fluent Python_ Clear, Concise, and Effective Programming, -- Luciano Ramalho -- 2nd, 2022 -- Beijing _ O'Reilly Media, Inc -- 9781492056355 -- 6b8f1e751c6d6b82a49cc155099f9949 -- Anna’s Archive.pdf",Fluent Python,epub_alternate
appendix,Effective Python,book_pdf,duplicate,"Concrete Python best practices for class APIs, inheritance, mixins, composition, and maintainable production code.","/home/brandon_behring/Downloads/acqusition_books/acqusition_books/Effective Python_ 125 Specific Ways to Write Better Python, -- Brett Slatkin -- 2024 -- Addison-Wesley -- 9780138172398 -- ee704457f028e6afc9bff04e2c5e6786 -- Anna’s Archive.pdf","/home/brandon_behring/Downloads/acqusition_books/acqusition_books/Effective Python_ 125 Specific Ways to Write Better Python_ -- Brett Slatkin -- 3, 2024 nov 30 -- Pearson Education, Limited -- 9780138172183 -- 859e2b0eab74efb9626b6b79a353f72a -- Anna’s Archive.pdf",Effective Python,alternate_copy
appendix,Effective Python,book_epub,duplicate,"Concrete Python best practices for class APIs, inheritance, mixins, composition, and maintainable production code.","/home/brandon_behring/Downloads/Effective Python 90 Specific Ways to Write Better Python 2nd -- Brett Slatkin; Safari, an O'Reilly Media Company -- Effective software development -- 9780134853987 -- 9946cc113f7003de92bd25a0a275cc5d -- Anna’s Archive.epub","/home/brandon_behring/Downloads/acqusition_books/acqusition_books/Effective Python_ 125 Specific Ways to Write Better Python_ -- Brett Slatkin -- 3, 2024 nov 30 -- Pearson Education, Limited -- 9780138172183 -- 859e2b0eab74efb9626b6b79a353f72a -- Anna’s Archive.pdf",Effective Python,epub_alternate
appendix,Effective Python,book_pdf,duplicate,"Concrete Python best practices for class APIs, inheritance, mixins, composition, and maintainable production code.","/home/brandon_behring/Downloads/Effective Python_ 90 Specific Ways to Write Better Python -- Brett Slatkin; Safari, an O'Reilly Media Company -- Effective software development -- 9780134853987 -- 0436398a53bd2d0e21408b253dec27c4 -- Anna’s Archive.pdf","/home/brandon_behring/Downloads/acqusition_books/acqusition_books/Effective Python_ 125 Specific Ways to Write Better Python_ -- Brett Slatkin -- 3, 2024 nov 30 -- Pearson Education, Limited -- 9780138172183 -- 859e2b0eab74efb9626b6b79a353f72a -- Anna’s Archive.pdf",Effective Python,alternate_copy
appendix,Refactoring,book_pdf,duplicate,Essential support text for improving class design safely and cleaning up object-oriented code over time.,"/home/brandon_behring/Downloads/acqusition_books/acqusition_books/Refactoring_ Improving the Design of Existing Code -- Martin Fowler, Kent Beck -- Addison-Wesley Signature Series (Fowler) Ser, 2nd ed, -- 9780134757599 -- f4fc75eb1eee5537400908e6f59db631 -- Anna’s Archive (1).pdf","/home/brandon_behring/Downloads/acqusition_books/acqusition_books/Refactoring_ Improving the Design of Existing Code -- Martin Fowler, Kent Beck -- Addison-Wesley Signature Series (Fowler) Ser, 2nd ed, -- 9780134757599 -- f4fc75eb1eee5537400908e6f59db631 -- Anna’s Archive.pdf",Refactoring,filename_copy_suffix
appendix,Refactoring,book_epub,duplicate,Essential support text for improving class design safely and cleaning up object-oriented code over time.,"/home/brandon_behring/Downloads/Refactoring_ Improving the Design of Existing Code (2nd -- Martin Fowler; Kent Beck -- Pearson Education (US), [Place of publication not -- 9780134757599 -- a87e2b9543219dccfb09183cc4aa5e1e -- Anna’s Archive.epub","/home/brandon_behring/Downloads/acqusition_books/acqusition_books/Refactoring_ Improving the Design of Existing Code -- Martin Fowler, Kent Beck -- Addison-Wesley Signature Series (Fowler) Ser, 2nd ed, -- 9780134757599 -- f4fc75eb1eee5537400908e6f59db631 -- Anna’s Archive.pdf",Refactoring,epub_alternate
appendix,Refactoring,book_epub,duplicate,Essential support text for improving class design safely and cleaning up object-oriented code over time.,"/home/brandon_behring/Downloads/Refactoring_ Improving the Design of Existing Code -- Martin, Fowler -- Pearson Education (US), [Place of publication not -- Addison-Wesley -- 9780134757599 -- 82962b3a54ade689913197f3df92e5ab -- Anna’s Archive.epub","/home/brandon_behring/Downloads/acqusition_books/acqusition_books/Refactoring_ Improving the Design of Existing Code -- Martin Fowler, Kent Beck -- Addison-Wesley Signature Series (Fowler) Ser, 2nd ed, -- 9780134757599 -- f4fc75eb1eee5537400908e6f59db631 -- Anna’s Archive.pdf",Refactoring,epub_alternate
appendix,The Pragmatic Programmer,book_pdf,duplicate,"General software craft classic that sharpens coupling, cohesion, maintainability, and pragmatic design judgment.","/home/brandon_behring/Claude/research-kb/fixtures/library_books/David Thomas, Andrew Hunt - The Pragmatic Programmer_ Your Journey to Mastery-Addison-Wesley Professional (2019).pdf","/home/brandon_behring/Claude/research-kb/fixtures/library_books/(2nd) Andrew Hunt_ David Hurst Thomas - The Pragmatic Programmer_ Your Journey to Mastery, 20th Anniversary Edition-Addison-Wesley Professional (2019).pdf",The Pragmatic Programmer,alternate_copy
appendix,API Design Patterns,book_pdf,duplicate,"Helpful support text for interface and object boundary design, especially when classes back public APIs.",/home/brandon_behring/Claude/research-kb/fixtures/library_books/JJ Geewax - API Design Patterns-Manning Publications (2021).pdf,/home/brandon_behring/Claude/research-kb/fixtures/library_books/JJ Geewax - API Design Patterns-Manning Publications 2021.pdf,API Design Patterns,alternate_copy
appendix,OOP.pdf,book_pdf,already_in_library,Generic OOP reference with a weak title match; keep it as a low-confidence appendix item only.,/home/brandon_behring/Claude/research-kb/fixtures/library_books/OOP.pdf,/home/brandon_behring/Claude/research-kb/fixtures/library_books/OOP.pdf,,low_confidence_generic_title
